colPK,pos_x,pos_y,win,currentGold,goldEarned,neutralMinionsKilled
12492,2163,2820,0,2222,6522,0
12493,3080,3928,0,317,6917,0
12494,1270,1531,0,945,7545,0
12495,0,0,0,466,8016,0
12496,894,892,0,1400,1400,0
12497,5032,4561,0,422,1822,0
12498,3334,2689,0,197,2297,0
12499,5057,4609,0,381,2831,0
12500,3684,4179,0,826,3276,0
12501,4666,4105,0,1297,3747,0
12502,4557,3923,0,1988,4438,0
12503,5545,4854,0,2616,5066,0
12504,4789,4005,0,850,5633,0
12505,5369,5342,0,2,1402,0
12506,3975,3656,0,1288,6071,0
12507,2198,2325,0,178,6611,0
12508,4405,3875,0,877,7310,0
12509,3273,2553,0,253,7936,0
12510,0,0,0,550,8233,0
12511,764,1070,0,1400,1400,0
12512,4129,2445,0,494,1794,0
12513,4778,4749,0,1086,2386,0
12514,4378,4566,0,413,2998,0
12515,4177,4031,0,881,3466,0
12516,4326,4379,0,1390,3975,0
12517,3925,3736,0,1920,4505,0
12518,7314,6491,0,295,4845,0
12519,4409,4485,0,762,5312,0
12520,4579,4840,0,102,1402,0
12521,3375,3436,0,1216,5766,0
12522,1684,1536,0,371,6206,0
12523,3494,3977,0,1062,6897,0
12524,2331,2147,0,1572,7407,0
12525,0,0,0,1928,7763,0
12526,854,1248,0,1400,1400,0
12527,4741,5160,0,557,1807,0
12528,3965,3762,0,112,2262,0
12529,4517,5063,0,302,2802,0
12530,3707,4110,0,821,3321,0
12531,4071,4795,0,1299,3799,0
12532,4605,5626,0,1980,4480,0
12533,3713,4257,0,-125,5210,0
12534,4040,4656,0,620,5955,0
12535,4622,4183,0,152,1402,0
12536,3640,3622,0,1060,6395,0
12537,1066,1282,0,307,6857,0
12538,3668,3285,0,644,7744,0
12539,3621,3315,0,1337,8437,0
12540,0,0,0,613,8813,0
12541,12006,11716,1,1400,1400,0
12542,5498,5870,1,427,1827,0
12543,5996,5754,1,881,2281,0
12544,6017,6465,1,365,2915,0
12545,4920,5194,1,799,3349,0
12546,5736,5857,1,1234,3784,0
12547,6209,6522,1,1937,4487,0
12548,5691,5372,1,2773,5323,0
12549,5147,5782,1,615,5765,0
12550,6074,6635,1,2,1402,0
12551,4700,5290,1,1010,6160,0
12552,11164,11217,1,557,6992,0
12553,5114,5327,1,997,7432,0
12554,3453,3369,1,787,8137,0
12555,0,0,1,1164,8514,0
12556,12006,11496,1,1400,1400,0
12557,5469,6188,1,457,1857,0
12558,5414,5944,1,950,2350,0
12559,6060,6144,1,1646,3046,0
12560,4542,5143,1,2099,3499,0
12561,5893,5583,1,2592,3992,0
12562,5427,5731,1,3194,4594,0
12563,5586,5697,1,564,5164,0
12564,6207,5944,1,1300,5900,0
12565,6480,6677,1,2,1402,0
12566,4785,5538,1,1783,6383,0
12567,2704,3434,1,2681,7281,0
12568,5357,6017,1,306,7616,0
12569,2441,2379,1,1612,8922,0
12570,0,0,1,1193,9493,0
12571,11797,11428,1,1400,1400,0
12572,5821,6002,1,506,1906,0
12573,5388,5996,1,1023,2423,0
12574,6138,6414,1,1854,3254,0
12575,4943,5311,1,2390,3790,0
12576,5803,5816,1,2785,4185,0
12577,5505,5662,1,3328,4728,0
12578,8703,9199,1,-82,5118,0
12579,5549,5378,1,388,5588,0
12580,6024,6334,1,2,1402,0
12581,4095,5118,1,785,5985,0
12582,2815,3324,1,1590,6790,0
12583,5204,5518,1,0,7150,0
12584,3397,3201,1,682,7832,0
12585,0,0,1,358,8208,0
12586,11667,11606,1,1400,1400,0
12587,5686,5637,1,646,1896,0
12588,5438,5409,1,1132,2382,0
12589,4140,4505,1,250,3300,0
12590,4835,4836,1,376,3726,0
12591,5700,6228,1,778,4128,0
12592,5601,6316,1,1379,4729,0
12593,6455,6939,1,692,5242,0
12594,5339,6155,1,234,5684,0
12595,6919,6417,1,152,1402,0
12596,4747,4913,1,717,6167,0
12597,2774,2766,1,33,7083,0
12598,5457,4997,1,473,7523,0
12599,9311,9923,1,285,8135,0
12600,0,0,1,1047,8897,0
12601,1103,1180,0,1400,1400,0
12602,6507,6056,0,391,9141,0
12603,936,1060,0,369,9709,0
12604,3941,4141,0,451,10191,0
12605,6337,6453,0,499,1849,0
12606,6583,5694,0,1219,10959,0
12607,7266,7443,0,2155,11895,0
12608,6631,6099,0,2815,12555,0
12609,6920,6446,0,709,12949,0
12610,4738,4078,0,451,13391,0
12611,7414,7524,0,1208,14148,0
12612,6077,5717,0,1633,14573,0
12613,9033,10325,0,2215,15155,0
12614,7436,8073,0,636,15776,0
12615,936,1060,0,1156,16296,0
12616,5606,5145,0,951,2301,0
12617,3435,2672,0,1793,16963,0
12618,8740,8516,0,2602,17772,0
12619,0,0,0,-725,18075,0
12620,4213,5294,0,211,2661,0
12621,936,1060,0,571,3021,0
12622,936,1060,0,938,3388,0
12623,936,1060,0,263,3813,0
12624,7065,6700,0,643,4493,0
12625,6259,6549,0,669,4919,0
12626,6416,6832,0,52,1402,0
12627,936,1060,0,1173,5423,0
12628,6803,7220,0,690,5940,0
12629,4058,5045,0,402,6552,0
12630,5531,6329,0,827,6977,0
12631,936,1060,0,1217,7367,0
12632,6746,7301,0,696,8096,0
12633,7279,6495,0,1150,8550,0
12634,1103,960,0,1400,1400,0
12635,7804,8769,0,673,10323,0
12636,3813,4388,0,1113,10763,0
12637,4542,5116,0,1645,11295,0
12638,6379,7143,0,402,1802,0
12639,5747,5713,0,192,11742,0
12640,3032,2422,0,433,12283,0
12641,6204,6627,0,975,12825,0
12642,6268,5896,0,235,13185,0
12643,3843,4722,0,117,13817,0
12644,6897,7718,0,549,14249,0
12645,6994,7068,0,609,14709,0
12646,8901,9814,0,301,15301,0
12647,7210,7419,0,1061,16061,0
12648,1762,1482,0,1406,16406,0
12649,5282,6253,0,887,2287,0
12650,3809,4635,0,1902,16902,0
12651,7518,8168,0,2528,17528,0
12652,0,0,0,336,17886,0
12653,5319,5912,0,283,2733,0
12654,5062,5721,0,438,3338,0
12655,6079,5960,0,471,3771,0
12656,6455,6956,0,1076,4376,0
12657,4245,5311,0,71,5271,0
12658,5398,6288,0,672,5872,0
12659,5969,6467,0,2,1402,0
12660,4169,5170,0,1097,6297,0
12661,6469,6875,0,1547,6747,0
12662,5220,6040,0,367,7617,0
12663,5608,5335,0,809,8059,0
12664,1018,1007,0,276,8476,0
12665,4224,4574,0,336,8936,0
12666,6582,5814,0,896,9496,0
12667,894,892,0,1400,1400,0
12668,994,1242,0,826,10426,0
12669,5921,5054,0,489,10839,0
12670,4351,3367,0,489,11239,0
12671,6862,5957,0,499,1834,0
12672,3898,3340,0,199,11949,0
12673,4703,4235,0,750,12900,0
12674,6916,5952,0,471,13671,0
12675,6413,6638,0,249,14249,0
12676,4223,3500,0,41,14891,0
12677,9143,8981,0,534,15384,0
12678,7494,6732,0,1324,16174,0
12679,8909,7895,0,308,16958,0
12680,9469,8407,0,361,17511,0
12681,4359,4441,0,458,17908,0
12682,5940,5117,0,1181,2516,0
12683,3507,3194,0,1404,18854,0
12684,6285,6035,0,934,19184,0
12685,0,0,0,1406,19656,0
12686,6157,5238,0,620,2920,0
12687,5822,4868,0,1190,3490,0
12688,6329,5295,0,262,3912,0
12689,7217,6228,0,886,4536,0
12690,5436,4961,0,336,5236,0
12691,5981,5164,0,836,5736,0
12692,7205,6371,0,67,1402,0
12693,4857,4136,0,1517,6417,0
12694,7214,6562,0,2043,6943,0
12695,5622,4987,0,308,7558,0
12696,6405,5493,0,806,8056,0
12697,5157,4524,0,516,8601,0
12698,6647,5909,0,1176,9261,0
12699,6349,5770,0,1661,9746,0
12700,764,1070,0,1400,1400,0
12701,5795,5796,0,2771,11021,0
12702,4319,3607,0,270,11520,0
12703,4453,3535,0,853,12103,0
12704,6252,6219,0,464,1864,0
12705,6472,5851,0,1048,12733,0
12706,7690,7265,0,1729,13414,0
12707,6398,5871,0,2557,14242,0
12708,6375,6889,0,717,14767,0
12709,4067,3303,0,1470,15520,0
12710,8049,8949,0,276,16176,0
12711,6877,6885,0,1386,17286,0
12712,8113,7765,0,282,18312,0
12713,7664,7330,0,977,19007,0
12714,4472,3559,0,1637,19667,0
12715,5267,5558,0,959,2359,0
12716,4154,4103,0,4401,20401,0
12717,6891,7199,0,331,20731,0
12718,0,0,0,-2830,21140,0
12719,6147,5932,0,644,2794,0
12720,5093,5561,0,1145,3295,0
12721,5534,5912,0,216,3716,0
12722,6399,5831,0,801,4301,0
12723,1719,1496,0,272,5007,0
12724,6060,6149,0,781,5516,0
12725,6759,6456,0,2,1402,0
12726,4460,4322,0,1351,6086,0
12727,6892,6943,0,2123,6858,0
12728,5393,4946,0,823,7473,0
12729,5862,5576,0,1429,8079,0
12730,4111,4082,0,499,8749,0
12731,6230,6365,0,1141,9391,0
12732,6898,6708,0,1596,9846,0
12733,854,1248,0,1400,1400,0
12734,6901,7819,0,226,9516,0
12735,4243,3763,0,802,10092,0
12736,3150,4119,0,1519,10809,0
12737,6443,5922,0,521,1871,0
12738,3933,3656,0,441,11331,0
12739,7419,6836,0,1282,12172,0
12740,7129,6462,0,884,12992,0
12741,5799,5792,0,431,13489,0
12742,3093,3410,0,1133,14191,0
12743,7154,8159,0,1715,14773,0
12744,6576,6550,0,611,15319,0
12745,7665,6666,0,1483,15946,0
12746,7650,7118,0,303,16366,0
12747,4164,4923,0,958,17021,0
12748,4839,5162,0,963,2313,0
12749,3367,4111,0,1739,17802,0
12750,4360,4610,0,1569,18132,0
12751,0,0,0,1492,18592,0
12752,5918,5595,0,1404,2754,0
12753,4302,4547,0,1898,3248,0
12754,6277,5775,0,2373,3723,0
12755,3970,3491,0,393,4143,0
12756,5258,4635,0,1078,4828,0
12757,5550,6039,0,1777,5527,0
12758,6214,6221,0,52,1402,0
12759,3995,4131,0,372,5897,0
12760,6585,7021,0,886,6411,0
12761,5118,4771,0,266,6916,0
12762,5646,6252,0,838,7488,0
12763,4410,4026,0,1366,7996,0
12764,5429,5604,0,376,8416,0
12765,6187,5966,0,878,8918,0
12766,12006,11716,1,1400,1400,0
12767,5525,6246,1,331,11431,0
12768,8071,7675,1,458,11908,0
12769,5342,5035,1,936,12386,0
12770,8169,7388,1,461,1861,0
12771,10065,9628,1,475,12980,0
12772,4230,3840,1,1318,13823,0
12773,7553,6839,1,987,14412,0
12774,6370,6692,1,288,15013,0
12775,3307,3261,1,851,15576,0
12776,6947,7726,1,1307,16032,0
12777,7884,8601,1,1637,16362,0
12778,9271,8127,1,2265,16990,0
12779,8413,8483,1,495,17520,0
12780,10877,9994,1,362,17887,0
12781,6696,6739,1,922,2322,0
12782,3133,3999,1,1147,18672,0
12783,2852,3297,1,1782,19307,0
12784,0,0,1,1196,20091,0
12785,6866,6745,1,1631,3031,0
12786,6017,5904,1,2356,3756,0
12787,7425,7131,1,2838,4238,0
12788,11860,11596,1,893,4593,0
12789,5290,6205,1,1083,5483,0
12790,7300,7050,1,1581,5981,0
12791,7780,7183,1,2,1402,0
12792,6159,5284,1,2222,6622,0
12793,8925,8117,1,2644,7044,0
12794,6050,6173,1,301,8001,0
12795,7032,6860,1,765,8465,0
12796,4155,4095,1,1846,9546,0
12797,7520,7722,1,2637,10337,0
12798,7743,7917,1,3321,11021,0
12799,12006,11496,1,1400,1400,0
12800,6520,6400,1,477,8877,0
12801,8810,7878,1,1298,9698,0
12802,4238,3395,1,728,10068,0
12803,7498,7255,1,504,1804,0
12804,6693,6012,1,1386,10726,0
12805,9579,9879,1,706,11096,0
12806,6590,7416,1,1254,11644,0
12807,7178,6568,1,470,12060,0
12808,4667,4148,1,994,12584,0
12809,7751,7554,1,1492,13082,0
12810,4409,5320,1,356,13546,0
12811,6475,6471,1,925,14115,0
12812,8697,8294,1,1385,14575,0
12813,6015,5296,1,1822,15012,0
12814,11860,11596,1,935,2235,0
12815,4201,4051,1,2413,15603,0
12816,9044,8607,1,448,16088,0
12817,0,0,1,1277,16977,0
12818,6414,6906,1,295,2595,0
12819,5949,5383,1,793,3093,0
12820,6768,6931,1,326,3476,0
